本合同||的||投保人||，||被保险人||或||受益人||知道||保险事故||后||应当||在||十日||内||通知||我们||。||\n||如果||投保人||，||被保险人||或||受益人||故意||或者||因||重大过失||未||及时||通知||我们||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||我们||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但||我们||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||或者||虽未||及时||通知||但||不||影响||我们||确定||保险事故||的||性质||、||原因||、||损失||程度||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
请||您||或||受益人||在||知道||保险事故||发生||后||10||日内||通知||我们||。||\n||如果||您||或||受益人||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||伤害||程度||等||难以确定||的||，||我们||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但||我们||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||或者||虽未||及时||通知||但||不||影响||我们||确定||保险事故||的||性质||、||原因||、||伤害||程度||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
您||或||被保险人||应||在||知道||保险事故||发生||之日起|| ||10|| ||日内||通知||本||公司||。||如果||您||或||受益人||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||我们||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但||我们||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||或者||虽未||及时||通知||但||不||影响||我们||确定||保险事故||的||性质||、||原因||、||损失||程度||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
投保人||、||被保险人||或||受益人||知道||保险事故||发生||后||，||应||及时||通知||本||公司||。||若因||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||本||公司||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但本||公司||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
投保人||或||被保险人||或||受益人||知道||保险事故||发生||后||应当||在||十日||内||通知||本||公司||。||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||我们||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但||我们||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||或者||虽未||及时||通知||但||不||影响||本||公司||确定||保险事故||的||性质||、||原因||、||损失||程度||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
您||、||被保险人||或者||受益人||知道||保险事故||发生||后||应当||在|| ||10|| ||日内||通知||我们||。||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||我们||对||无法||确定||的||部分||不||承担||给付保险金||的||责任||，||但||我们||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||或者||虽未||及时||通知||但||不||影响||我们||确定||保险事故||的||性质||、||原因||、||损失||程度||的||除外||。||\n||若||您||、||被保险人||或者||受益人||知道||保险事故||发生||后||，||未||及时||通知||我们||，||且||您||要求||解除||本合同||、||减保||导致||我们||按||本合同||约定||退还||现金价值||或||保险费||后||，||我们||按||本合同||约定||需||给付保险金||时||，||有权||扣减||已||给付||的||数额||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O
您||、||被保险人||或||受益人||知道||保险事故||后||应当||在||10||日内||通知||我们||。||\n||如果||您||、||被保险人||或||受益人||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||我们||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但||我们||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||或者||虽未||及时||通知||但||不||影响||我们||确定||保险事故||的||性质||、||原因||、||损失||程度||的||除外||。||\n||被保险人||应||在||我们||指定||或||认可||的||医疗机构||就诊||，||若因||急诊||未||在||我们||指定||或||认可||的||医疗机构||就诊||的||，||应||在|| ||3|| ||日内||通知||我们||，||并||在||病情||好转||后||及时||转入||我们||指定||或||认可||的||医疗机构||。||若||确需||在||非||指定||或||认可||的||医疗机构||就诊||的||，||应||向||我们||提出||书面||申请||，||我们||在||接到||申请||后|| ||3|| ||日内||给予||答复||，||对于||我们||同意||在||非||指定||或||认可||的||医疗机构||就诊||的||，||我们||按||约定||承担||给付保险金||的||责任||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O
您||或||受益人||知道||保险事故||发生||后||，||应当||及时||通知||我们||。||\n||若||您||或||受益人||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||我们||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但||我们||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||或者||虽未||及时||通知||但||不||影响||我们||确定||保险事故||的||性质||、||原因||、||损失||程度||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
投保人||、||被保险人||或||受益人||应当||在||知道||保险事故||发生||后|| ||10|| ||日内||通知||本||公司||。||\n||若||投保人||、||被保险人||或||受益人||故意||或||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||本||公司||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但本||公司||通过||其他||途径||已经||及时||知道||或||应当||及时||知道||保险事故||发生||或||虽||未||及时||通知||但||不||影响||本||公司||确定||保险事故||的||性质||、||原因||、||损失||程度||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
投保人||或||受益人||知道||保险事故||后||应当||在|| ||10|| ||日内||通知||本||公司||。||\n||如果||投保人||或||受益人||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||本||公司||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但本||公司||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||或者||虽未||及时||通知||但||不||影响||本||公司||确定||保险事故||的||性质||、||原因||、||损失||程度||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
您||、||被保险人||或||受益人||知道||保险事故||后||应当||在||十日||内||通知||本||公司||。||\n||如果||您||、||被保险人||或||受益人||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||我们||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但||我们||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||或者||虽未||及时||通知||但||不||影响||我们||确定||保险事故||的||性质||、||原因||、||损失||程度||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
投保人||、||被保险人||或||受益人||知道||保险事故||后||应当||在||十日||内||通知||本||公司||。||\n||如果||投保人||、||被保险人||或||受益人||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||损失||程度||等||难以确定||的||，||本||公司||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但本||公司||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||或者||虽未||及时||通知||但||不||影响||本||公司||确定||保险事故||的||性质||、||原因||、||损失||程度||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
您||、||被保险人||或者||受益人||应当||在||知道||保险事故||发生||之日起|| ||10|| ||日内||通知||我们||，||否则||，||应||承担||由于||通知||延迟||致使||我们||增加||的||查勘||、||检验||等||项||费用||，||但||因||不可抗力||导致||的||延迟||除外||。||您||、||被保险人||或||受益人||故意||或者||因||重大过失||未||及时||通知||，||致使||保险事故||的||性质||、||原因||、||程度||等||难以确定||的||，||我们||对||无法||确定||的||部分||，||不||承担||给付保险金||的||责任||，||但||我们||通过||其他||途径||已经||及时||知道||或者||应当||及时||知道||保险事故||发生||的||除外||。||\n###O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||O||B||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||M||E||O||O
