words,tags,length
"2157,438,2632,2987,2785,2531,838,1810,2058,2157,2234,438,3797,713,393,2946,3249,2509,1475,2167,3639,2448","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0",22
"3614,181,1273,438,2632,2987,3907,1029,2509,1475,1383,438,477,3106,838,1810,2058,610,286,0,3281,0,2419,438,1641,3707,147,3106,54,3494,3639,2448","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0",32
"2157,438,2632,2987,804,1455,3410,3639,2448,2157,1537,623,1039,987,1957,1108,2990,2946,2169,2509,3597,2581,3907,2544,394,3639,3614,623,223,799,438,3329,2785,2531,838,1810,219,393,2058,2632,2987,1434,3797,3639,2157,438,13,2167,2721,2509,1475,3639,2448","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0",53
"2157,438,2632,2987,3907,3410,393,2785,2531,438,838,3188,2157,1888,3106,438,54,3494,393,2946,3249,2509,2814,220,1475,2167,3639,2448","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0",28
"3614,181,1273,438,2632,2987,1639,1578,0,1114,0,2732,2814,0,111,0,2732,393,3865,270,3249,69,2193,496,3614,623,2234,393,1029,2509,1475,1383,438,477,3106,838,1810,2058,2737,147,3106,54,3494,3639,2448","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0",45
"3614,3338,1273,438,2632,2987,3907,1029,2509,1475,1383,438,3614,3338,2531,1705,386,19,1273,807,3074,1434,3494,3639,3614,3338,1273,3797,3106,3291,1455,610,286,0,657,0,2419,438,2268,507,3106,3639,2448","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0",43
"3614,181,1273,438,2632,2987,3907,0,1059,0,2732,3639,2448","1,2,2,2,2,2,2,2,2,2,2,3,0",13
"3614,181,1273,438,2632,2987,1293,0,1626,0,2732,1957,3666,0,2732,1957,2058,610,286,0,3352,0,2419,438,1641,3707,0,470,0,2358,3639,270,3249,69,2193,1639,1578,2632,2987,2946,3249,2509,1475,2167,3639,3614,181,1273,438,2632,2987,3907,1029,2509,1475,1383,438,477,3106,838,1705,270,1578,438,2632,2987,805,54,3494,3639,2448","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0",71
"2157,2632,2987,3907,91,2732,393,1029,13,438,2604,838,1705,1197,1046,2509,507,3106,3012,676,1704,438,54,3494,3639,2448,1159,2632,2987,2835,984,393,931,2971,1281,2157,3545,2698,2427,3639,1402,931,1281,1039,2946,89,2427,2193,2157,438,692,2771,393,3597,2427,2193,610,438,743,432,438,680,1108,2990,2978,2157,2971,605,3680,3639,364,2427,438,1273,1029,2737,3106,2604,838,1810,2544,393,2632,2987,3907,91,2732,3639,2448,931,3455,1639,2427,2157,438,610,438,743,3486,804,1455,1626,2419,3639,2448","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0",105
"2157,438,2632,2987,2785,2531,838,1810,2058,2157,2234,438,3797,713,393,2946,3249,2509,1475,2167,3639,2448","1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0",22
