words,tags,length
"2836,2930,438,3440,621,1401,549,3151,3283,1256,3068,264,492,3068,3278,373,1870,895,1091,293,2891,3354,656,3715,1906,3174,3300,3825,549,2891,3541,359,3174,1100,3812,3715,683,3174,549,3541,2992,949,3174,3562,264,3869,1602,312,2891,1,2034,3812,3715,355,3174,549,1133,3283,1673,264,2417,1151,1994,2648,1529,680,394,1738,3278,946,549,1738,1059,1570,544,2891,3287,3812,3715,28,3174,549,1605,3174,1837,264,2532,1237,3812,3715,1599,3174,549,794,3352,3174,526,1164,2582,1909,3352,264,3352,526,2582,3411,2891,906,3812,3715,1114,3174,188,3174,3473,3174,2317,264,764,2758,3812,3715,2593,3174,1796,3174,1229,264,3313,3812,3715,751,3174,1122,3068,2746,895,1258,3732,2643,1850,1619,3174,3588,364,167,1619,2927,3278,3176,2605,2746,895,1258,2200,703,2927,3174,2528,264,2279,315,2587,3715,3120,2827,896,3440,3151,3278,1401,549,3151,3283,1256,3068,264,492,3068,3278,3283,2406,3278,373,1870,2460,3300,2832,3283,2891,2971,3278,946,2769,1225,3283,3122,2135,1411,2135,2891,492,3068,3130,2587,3300,3825,549,3541,359,264,1806,1026,549,3151,3283,1256,3068,264,492,3068,3278,373,1870,2460,549,2832,3283,2891,2971,3278,946,2769,1225,3283,3122,2135,1411,2135,2891,492,3068,3130,2587,3715","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",245
"2836,2930,3440,621,3278,1401,2104,2891,3278,2468,895,1091,293,2891,3354,656,3715,2746,372,2927,3300,3825,549,2891,3541,359,3174,1100,3812,3715,2746,3864,2927,549,3562,3167,3869,1602,312,2891,1,2034,3812,3715,2746,2805,2927,549,1226,1665,2417,356,3167,2417,1151,2648,1529,0,3864,0,32,1738,3278,946,549,1738,1059,1570,544,2891,3287,3812,3715,2746,1859,2927,549,3515,1837,264,2532,1237,3812,3715,2746,1479,2927,549,794,3352,3174,526,1164,2582,1909,3352,3278,264,3352,526,2582,3411,2891,906,3812,3715,2746,168,2927,188,3174,3473,3174,2317,264,764,2758,3812,3715,2746,2919,2927,1796,3174,1229,264,3313,2587,3715,3151,2827,539,0,372,0,587,3440,1401,2104,2891,3278,373,1665,2417,1151,2406,3278,2468,2460,841,3504,2891,3015,2832,373,1665,2417,2891,2971,2587,3715,3151,2827,2607,3440,1401,2104,2891,3278,373,1665,2417,1151,2406,3278,2468,2460,2963,2832,373,1665,2417,2891,2971,2587,3715","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",186
"2836,2930,3440,621,3278,1401,549,2737,264,2390,2891,3278,2468,895,1091,2135,3551,1798,2390,3130,2891,3354,656,3715,40,372,3230,3300,3825,549,2891,3541,359,3174,1100,3812,3715,40,3864,3230,549,3562,3167,3869,1602,312,2891,1,2034,3812,3715,40,2805,3230,549,1133,3283,1673,3167,2417,1151,2648,1529,3864,32,1738,3278,946,549,1738,1059,1570,544,2891,3287,3812,3715,40,1859,3230,549,3515,1837,264,2532,1237,3812,3715,40,1479,3230,549,794,3352,3174,526,1164,2582,1909,3352,3278,264,3352,526,2582,3411,2891,906,3812,3715,40,168,3230,188,3174,3473,3174,2317,264,764,2758,3812,3715,40,2919,3230,1796,3174,1229,264,3313,2587,3715,3151,2827,539,40,372,3230,587,3440,1401,549,2737,264,2390,2891,3278,3283,2406,3278,2468,2460,2467,1471,544,2832,3283,258,549,2891,399,647,576,2029,2587,3715,3151,2827,2467,3440,1401,549,2737,264,2390,2891,3278,3283,2406,3278,2468,2460,2963,2832,3283,258,549,2891,399,647,576,2029,2587,3715,3130,3072,3715","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",198
"2836,3563,3299,264,2250,3440,1401,549,2737,264,3270,3283,943,2891,492,3068,2891,3278,373,1870,895,1091,293,2891,3354,656,3715,40,1906,3230,3300,3825,549,2891,3541,359,3174,1100,3812,3715,40,683,3230,549,3562,3167,3869,1602,312,2891,1,2034,3812,3715,40,355,3230,549,2992,3283,1673,2746,533,3151,3762,3440,3278,940,2992,3283,3762,2927,3078,3864,32,1738,3278,946,549,1738,1059,1570,544,2891,3287,3812,3715,40,28,3230,549,2226,3278,1392,3278,3541,2992,949,3278,1605,3174,1837,264,2532,1237,3812,3715,40,1599,3230,549,794,3352,3278,526,1164,2582,1909,3352,3278,264,3352,526,2582,3411,2891,906,3812,3715,40,1114,3230,549,3270,3176,3068,3174,3176,2605,3174,1122,3068,3812,3715,40,2593,3230,549,3270,3924,264,3659,3924,1277,3812,3715,40,751,3230,188,3174,3473,3174,2317,264,764,2758,3812,3715,40,3520,3230,1796,3174,1229,264,3313,2587,3715,549,2836,2827,539,2746,1906,2927,587,3440,2737,264,3270,3283,943,2891,492,3068,2891,3278,373,1870,2460,3130,3015,2832,3283,3419,2695,2417,2891,2971,3278,3283,2406,3278,3424,2695,2417,2406,3812,549,2836,2827,1812,539,2746,1906,2927,587,3780,2891,2607,3440,2737,264,3270,3283,943,2891,492,3068,2891,3278,373,1870,2460,3300,2832,3283,3419,2695,2417,2971,3278,3283,2406,3278,3424,2695,2417,2406,2587,3715","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",262
"1906,3174,2836,2930,3440,621,1401,549,3270,3503,2891,3278,2468,895,1091,293,2891,3354,656,3715,2746,1906,2927,3300,3825,549,2891,3541,359,3174,1100,3812,3715,2746,683,2927,549,3562,264,3869,1602,312,2891,1,2034,3812,3715,2746,355,2927,549,2194,3174,3541,2992,949,3812,3715,2746,28,2927,549,3515,1837,264,2532,1237,2746,302,2475,2927,3812,3715,2746,1599,2927,549,794,3352,2746,302,3450,2927,3174,526,2582,1909,3352,2746,302,1957,2927,264,3352,526,2582,3411,2746,302,1630,2927,2891,906,2746,302,2383,2927,3812,3715,2746,1114,2927,188,3174,3473,3174,2317,3174,1290,264,764,2758,2746,3916,380,636,1468,2731,264,1639,3422,2927,3812,3715,2746,2593,2927,1796,3174,1229,264,3313,3812,3715,2746,751,2927,1122,3068,2746,302,159,2927,3174,3176,2605,3174,2528,264,2279,315,2746,302,881,2927,2587,3715,683,3174,3151,2827,539,2746,1906,2927,2283,3440,1401,549,3270,3503,2891,3278,3283,2406,2587,2468,2460,3130,3015,2832,3283,1483,2891,2971,40,302,3366,3230,2587,3715,355,3174,3151,2827,2607,3440,1401,549,3270,3503,2891,3278,3283,2406,3278,2468,2460,2963,2832,3283,1483,2891,2971,2587,3715","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",226
"2836,2930,3440,621,3278,1026,549,2737,2891,3278,373,1870,2377,3170,656,3715,2746,372,2927,3300,2891,3541,380,3812,3715,2746,3864,2927,549,3562,264,3869,1602,312,2891,1,2034,3812,3715,2746,2805,2927,549,2226,2746,302,0,144,2927,3174,1392,2746,302,0,443,2927,3174,3541,2992,949,1782,3715,2746,1859,2927,549,1133,3283,356,264,1994,3762,1529,0,3864,0,32,1738,3278,946,549,1738,1059,1570,544,2891,3287,3812,3715,2746,1479,2927,549,1605,3174,1837,3174,2532,1237,2746,302,0,2475,2927,264,2850,1468,1722,1036,2746,302,0,3450,2927,3812,3715,2746,168,2927,549,794,3352,2746,302,0,1957,2927,3174,526,2582,1909,3352,2746,302,0,1630,2927,264,3352,526,2582,3411,2746,302,0,2383,2927,2891,906,2746,302,0,159,2927,3174,2530,2798,2746,302,0,881,2927,3812,3715,2746,2919,2927,188,3174,490,3174,2317,3174,1290,2746,302,0,3366,2927,264,764,2758,2746,3916,380,636,1468,2731,264,1639,3422,2927,3812,3715,2746,1800,2927,1796,3174,1229,3174,3313,3278,264,336,2363,3440,3716,2891,3068,2587,3715,3151,2827,539,2746,372,2927,587,3440,1401,549,2737,2891,3278,3283,1151,2444,3781,2406,3278,1942,3300,1092,2891,712,886,2891,2768,2278,3278,373,1870,2460,1812,3300,382,2891,2607,1471,544,2746,302,1017,2927,2832,3283,2891,2971,2587,1942,3300,1092,2891,712,3141,2768,2278,3278,993,3300,2035,1387,1089,3916,2029,2891,3278,373,1870,2460,1812,3300,3780,2891,2607,1471,544,2832,3283,2891,2971,2587,3715,3151,2827,2607,3440,1401,549,2737,2891,3278,3283,1151,2444,3781,2406,3278,373,1870,2460,3300,2832,3283,2891,2971,2587,3715","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",319
"2836,2930,3440,621,1401,549,2737,2891,3278,2468,895,1091,3170,656,3715,2746,372,2927,3300,3825,549,2891,3541,359,3174,1100,3812,3715,2746,3864,2927,549,3562,3167,3869,1602,312,2891,1,2034,3812,3715,2746,2805,2927,549,1226,3635,1673,3167,2417,1151,2648,1529,0,3864,0,32,1738,3278,946,549,1738,1059,1570,544,2891,3287,3812,3715,2746,1859,2927,549,3515,1837,264,2532,1237,2746,302,2261,0,799,2927,3812,3715,2746,1479,2927,549,794,3352,2746,302,2261,0,1558,2927,3278,526,1164,2582,1909,3352,2746,302,2261,252,2927,264,3352,526,2582,3411,2746,302,2261,0,1564,2927,2891,906,3812,3715,2746,168,2927,188,3174,3473,3174,2317,264,764,2758,3812,3715,2746,2919,2927,1796,3174,1229,264,3313,2587,3715,3151,2827,539,2746,3389,2927,587,3440,1401,549,2737,2891,3278,373,3635,2406,3278,2963,2035,1387,0,3864,3232,3916,2029,2891,3278,2468,2460,2607,1471,544,2832,3905,2891,2971,2587,3715,3151,2827,539,2746,3864,2927,80,2746,2919,2927,587,3440,1401,549,2737,2891,3278,373,3635,2406,3278,2468,2460,2963,2832,3905,2891,2971,2587,3715","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",216
"2836,2930,3440,621,1401,549,3151,3068,3278,2468,895,1091,293,2891,3354,656,3715,2746,372,2927,3300,3825,549,2891,3541,359,3174,1100,3812,3715,2746,3864,2927,549,3541,2992,949,3174,3562,3167,3869,1602,312,2891,1,2034,3812,3715,2746,2805,2927,549,1605,3174,1837,264,2532,1237,40,144,3230,3812,3715,2746,1859,2927,188,3174,3473,3174,2317,264,764,2758,3812,3715,2746,1479,2927,1796,3174,1229,264,3313,3812,3715,2746,168,2927,1122,3068,40,443,3230,3174,3176,2605,3174,2528,264,2279,315,40,2475,3230,2587,3715,3151,2827,539,2746,372,2927,587,3440,1401,549,1624,539,0,3863,0,319,3648,2891,3068,3278,3283,1151,2406,3278,2468,2460,549,2832,3283,2891,399,647,576,2029,2746,3450,2927,2587,3715,3151,2827,2607,3440,1401,549,1624,539,3863,319,3648,2891,3068,3278,3283,1151,2406,3278,2468,2460,3300,2832,3283,2891,399,647,576,2029,2587,3715","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",176
"2836,2930,438,3440,621,1401,549,2737,264,2390,2891,3278,2468,895,1091,293,2891,3170,656,3715,1906,3174,3905,987,2562,2468,895,1091,3170,2891,2700,3812,3715,683,3174,3300,3825,549,2891,3541,359,3174,1100,3812,3715,355,3174,549,3562,264,3869,1602,312,2891,1,2034,3812,3715,28,3174,549,1738,264,3541,2992,949,3278,946,549,1738,264,3541,317,1946,3887,1570,544,2891,3287,3812,3715,1599,3174,549,2194,3174,2226,3278,3515,1605,3174,1837,264,2532,1237,3812,3715,1114,3174,549,794,3352,3174,526,1164,2582,1909,3352,264,3352,526,2582,3411,2891,906,3812,3715,2593,3174,549,3750,548,3174,2704,3174,1998,3174,662,3174,196,3174,97,3174,1255,3174,1689,3174,2834,1015,9,3812,3715,751,3174,549,399,1968,1295,2849,3883,264,1605,3591,3278,946,2699,3883,71,2891,1486,3883,1945,776,3812,3715,3520,3174,549,1133,3170,1127,3107,2035,3270,2891,3068,264,3557,1011,3174,2035,3356,2891,1806,3278,264,534,2891,2893,556,264,555,3278,946,2468,1133,3283,1407,1946,2035,2984,2448,2074,2177,2891,3287,3812,3715,2451,3174,188,3174,3473,3174,2317,264,764,2758,3812,3715,3745,3174,1796,3174,1229,264,3313,2587,3715,3151,2827,2994,3440,1401,549,2737,264,2390,2891,3278,3283,3825,258,549,3039,1091,2891,1172,3278,2468,2460,2607,1471,544,2832,3283,258,549,2891,399,647,576,2029,0,2587,3715,3151,2827,2994,3440,382,2891,2467,3440,1401,549,2737,264,2390,2891,3278,3283,3825,258,549,3039,1091,2891,1172,3278,2468,2460,2963,2832,3283,258,549,2891,399,647,576,2029,2587,3715","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",304
"2836,2930,539,2746,372,2927,1975,2746,2919,2927,587,3440,1401,549,2737,2891,3278,2468,895,1091,2135,1124,3551,648,2891,3354,3812,2836,2930,539,2746,168,2927,1975,2746,1800,2927,587,3440,621,1401,549,528,1124,492,3068,648,3174,1124,492,239,648,3174,1124,1176,492,239,648,3174,1124,1348,492,239,648,264,1124,1735,492,239,648,2891,3278,2468,895,1091,2135,1124,492,3068,3130,648,3174,1124,492,239,3130,648,3174,1124,1176,492,239,3130,648,3174,1124,1348,492,239,3130,648,264,1124,1735,492,239,3130,648,2891,3354,656,3715,2746,372,2927,3300,3825,549,2891,3541,359,3174,1100,3812,3715,2746,3864,2927,549,3562,3167,3869,1602,312,2891,1,2034,3812,3715,2746,2805,2927,549,1226,3635,1673,3167,2417,1151,2648,1529,0,3864,0,32,1738,3278,946,549,1738,1059,1570,544,2891,3287,3812,3715,2746,1859,2927,188,3174,3473,3174,2317,264,764,2758,3812,3715,2746,1479,2927,549,794,3352,2746,302,2261,0,2703,2927,3278,526,1164,2582,1909,3352,2746,302,2261,0,1917,2927,264,3352,526,2582,3411,2746,302,2261,0,2267,2927,2891,906,3812,3715,2746,168,2927,549,3515,1837,264,2532,1237,2746,302,2261,0,3876,2927,3812,3715,2746,2919,2927,1796,3174,1229,264,3313,3812,3715,2746,1800,2927,549,3659,3924,1277,264,3270,3924,2587,3715,3151,2827,539,2746,372,2927,587,3440,1401,549,2737,2891,3278,373,3635,2406,3278,2963,2035,1387,3864,3232,3916,2029,2891,3278,2468,2460,549,2891,1240,544,2832,373,3635,2891,2971,2587,3715,3151,2827,2746,3864,2927,1975,2746,2919,2927,587,3440,1401,549,2737,2891,3278,373,3635,2406,3278,2468,2460,2963,2832,373,3635,2891,2971,2587,3715,3151,2827,539,2746,168,2927,1975,2746,1800,2927,587,3440,1401,549,2165,3635,943,2891,492,3068,3174,492,239,3174,1176,492,239,3174,1348,492,239,264,1735,492,239,2891,3278,373,3635,2406,3278,2468,2460,2963,2832,373,3635,2891,2971,2587,3715","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",378
