words,tags,length
"571,6795,7660,2549,8181,2587,975,1687,5048,6729,7855,6981,6527,58,6527,345,733,5002,3538,962,3966,0,5746,3937,2369,6159,2587,6527,4636,4286,3937,6361,6618,0,4838,3937,2587,4636,2138,2143,3937,3269,8271,8490,41,1526,6527,8045,6125,6618,0,6314,3937,2587,3155,128,7726,5115,7615,6618,0,1262,3937,2587,4049,2711,345,7116,2899,3675,4704,2711,345,7726,2711,7116,3675,6693,6527,1012,6618,0,8484,3937,2587,3713,17,3643,7726,7050,17,6618,0,1339,3937,2427,3937,2852,3937,6582,7726,4191,2844,6618,0,7706,3937,6417,3937,2190,7726,503,6618,0,6185,3937,6672,8376,345,4068,5678,3937,2554,7726,6691,5987,570,0,3568,6562,7830,7660,8181,2587,975,1687,5048,6729,7855,6981,6527,58,6527,345,1687,5048,6729,4968,345,7318,1382,4587,0,2141,0,8480,4285,645,6527,345,733,2898,8032,1309,8329,6166,3880,6527,4720,570,0,3568,6562,8032,7660,8181,2587,975,1687,5048,6729,7855,6981,6527,58,6527,345,1687,5048,6729,4968,345,733,2898,7318,6166,3880,6527,4720,570,0,571,6795,7660,2549,8181,2587,2279,6527,345,733,5002,3538,6850,2634,6527,7268,3966,0,5746,3937,2369,6159,2587,6527,4636,4286,3937,6361,6618,0,4838,3937,2587,3269,8271,8490,41,1526,6527,8045,6125,6618,0,6314,3937,2587,4706,5048,6729,4143,8271,6729,7402,4258,2998,0,2141,0,6831,2133,345,1904,2587,2133,3249,2404,8329,6527,5270,6618,0,1262,3937,2587,3155,128,7726,5115,7615,6618,0,8484,3937,2587,4049,2711,345,7116,2899,3675,4704,2711,345,7726,2711,7116,3675,6693,6527,1012,6618,0,1339,3937,2427,3937,2852,3937,6582,7726,4191,2844,6618,0,7706,3937,6417,3937,2190,7726,503,570,0,3568,6562,7830,7660,8181,2587,2279,6527,345,1687,5048,6729,4968,345,7318,1382,4587,0,2141,0,8480,4285,645,6527,345,733,2898,8032,1309,8329,6166,3880,6527,4720,570,0,3568,6562,8032,7660,8181,2587,2279,6527,345,1687,5048,6729,4968,345,733,2898,7318,6166,3880,6527,4720,570,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",383
"571,6795,1335,800,5653,5298,6285,800,7958,5298,4900,7660,2549,8181,2587,2279,6527,345,7726,571,6795,1335,800,2141,5298,6285,800,3783,5298,4900,7660,2549,8181,2587,3568,8376,3937,5463,8376,6345,7726,3958,8308,6527,345,733,5002,3538,6081,6527,7268,3966,0,800,5653,5298,2587,2138,4664,4143,7726,4664,7402,4258,2998,0,2141,0,6831,2133,345,1904,2587,2133,3249,2404,8329,6527,5270,6618,0,800,2141,5298,2369,6159,2587,6527,4636,4286,3937,6361,6618,0,800,8515,5298,2587,4636,2138,2143,3937,3269,8271,8490,41,1526,6527,8045,6125,6618,0,800,3126,5298,2587,5833,3937,128,7726,5115,7615,6618,0,800,5686,5298,2587,4049,2711,345,7116,2899,3675,4704,2711,345,7726,2711,7116,3675,6693,6527,1012,6618,0,800,6257,5298,2587,4302,6672,8376,345,4068,5678,3937,2554,7726,6691,5987,6618,0,800,5562,5298,2427,3937,2852,3937,6582,7726,4191,2844,6618,0,800,7958,5298,6417,3937,2190,7726,503,6618,0,800,3783,5298,2587,3713,17,3643,7726,7050,17,5418,800,5002,1024,4664,7855,3434,6527,3237,3245,4065,8181,6527,2755,8528,4484,3643,2339,5335,7503,3713,5237,5298,570,0,3568,6562,1335,800,2141,5298,4900,7660,8181,2587,2679,5734,3568,4664,5863,6527,58,7726,8181,2587,2279,6527,345,4664,4968,345,733,2898,6580,6166,4664,6527,4720,570,0,3568,6562,8032,7660,8181,2587,2679,5734,3568,4664,5863,6527,58,7726,8181,2587,2279,6527,345,4664,4968,345,733,2898,7318,6166,4664,6527,4720,570,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",287
"6159,4659,7256,6795,2159,2549,4379,8181,6527,2587,2279,345,4664,5002,3538,6850,2634,7268,3966,0,2339,5746,7503,2369,6159,2587,6527,4636,4286,3937,6361,6618,0,2339,4838,7503,2587,3269,8271,8490,41,1526,6527,8045,6125,6618,0,2339,6314,7503,2587,2133,2339,8463,1687,5956,1218,6829,6624,6998,5270,7503,345,1904,2133,3249,2404,8329,6527,5270,6618,0,2339,1262,7503,2587,3155,128,7726,5115,7615,6618,0,2339,8484,7503,2587,4049,2711,3937,7116,2899,3675,4704,2711,345,7726,2711,7116,3675,6693,6527,1012,6618,0,2339,1339,7503,6417,3937,2190,3937,503,3937,2427,3937,2852,3937,6582,7726,4191,2844,570,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",124
"571,6795,4659,7660,2549,8181,2587,2279,345,1687,5956,5002,3538,6081,6527,7268,3966,0,5746,3937,2369,6159,2587,6527,4636,4286,3937,6361,6618,0,4838,3937,2587,3269,7726,8490,41,1526,6527,8045,6125,6618,0,6314,3937,2587,8463,4664,4143,7726,6729,7402,4258,2998,1398,5305,2133,345,1904,2587,2133,3249,2404,8329,6527,5270,6618,0,1262,3937,2587,5833,3937,128,7726,5115,7615,6618,0,8484,3937,2587,4049,2711,3937,7116,2899,3675,4704,2711,7726,2711,7116,3675,6693,6527,1012,6618,0,1339,3937,2427,3937,2852,3937,6582,7726,4191,2844,6618,0,7706,3937,6417,3937,2190,7726,503,570,0,8427,6562,3458,7660,3568,345,8181,2587,2279,345,4664,4968,345,1687,5956,2898,2369,6166,4664,6527,4720,345,1904,2369,6159,2587,4636,4286,7726,6723,7988,2587,2279,6527,345,1687,5956,6166,4664,6527,4720,345,2685,2587,5052,2908,570,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",168
"571,6795,7660,2549,8181,5667,6527,345,1687,5956,5002,3538,962,3966,0,414,2279,7268,1575,2339,5653,7503,2369,6527,4636,1277,570,0,2339,2141,7503,2587,2133,7726,4636,2138,2143,345,1904,2133,7726,4599,3662,5375,2404,8329,6527,6005,6705,570,0,2339,8515,7503,2587,3950,7726,8490,41,1526,6527,8045,6125,345,2587,1681,6843,1938,3929,7726,238,3617,570,0,2339,3126,7503,2587,3947,3937,3009,3937,3775,345,5833,3937,128,7726,5115,7615,570,0,1084,2339,3548,7088,6257,7088,3182,7503,4484,3937,1788,7979,4484,3937,8578,5269,7979,4484,3937,6672,5720,3721,704,8212,3937,6672,1507,1380,704,8212,3937,6672,4782,3721,704,8212,3937,4681,57,3721,704,8212,3937,2859,4665,1658,7411,4961,5781,5514,6618,1176,8425,6618,2843,1176,3611,303,7411,7658,4484,4379,948,3831,570,0,2339,5686,7503,2587,4049,2711,3937,7116,2899,3675,4704,2711,345,7726,2711,7116,3675,6693,6527,1012,5418,570,0,2339,6257,7503,2587,6907,458,8107,345,3138,8615,2275,345,1904,147,8615,5203,6527,7348,8615,7803,6527,8210,570,0,2339,5562,7503,2587,6091,6993,3937,4901,3937,1216,3937,2341,3937,2711,6581,7142,2073,3937,1959,3937,3195,3937,1090,3937,3287,3937,6040,3937,6336,4620,8362,6618,2587,2596,4659,1087,3937,3637,3937,3795,6904,6527,6268,345,7726,2685,910,1956,2596,4659,1167,570,0,2339,7958,7503,2587,1153,7411,73,800,5158,379,6772,6527,3608,8376,7411,6572,4066,1278,6527,6975,1573,268,800,1963,7088,5175,5298,4318,1830,5298,7726,8221,5040,5418,1681,6527,4659,5727,570,0,2339,3783,7503,2427,3937,2852,3937,525,1517,3937,6582,7726,4191,2844,6618,6417,3937,2190,7726,503,570,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",320
"5914,0,571,6795,7660,2549,345,8181,2587,3568,5667,6527,345,733,5002,3538,962,3966,0,5914,2134,5653,0,7318,6159,2587,6527,4636,4286,3937,6361,6618,0,5914,2134,2141,0,2587,3269,8271,8490,41,1526,6527,8045,6125,6618,0,5914,2134,8515,0,2587,3155,128,7726,5115,7615,2339,3550,5714,7503,6618,0,5914,2134,3126,0,2587,4049,2711,2339,3550,5714,7503,345,7116,2899,3675,4704,2711,2339,3550,5714,7503,345,7726,2711,7116,3675,6693,2339,3550,5714,7503,6527,1012,6618,0,5914,2134,5686,0,2427,2339,3550,5714,7503,3937,2852,3937,6582,7726,4191,2844,6618,0,5914,2134,6257,0,6417,3937,2190,7726,503,6618,0,5914,2134,5562,0,0,2587,3713,17,3643,7726,7050,17,2339,3550,5714,7503,6618,0,5914,2134,7958,0,6672,8376,2339,3550,5714,7503,3937,4068,5678,3937,2554,7726,6691,5987,2339,3550,5714,7503,570,0,713,0,3568,6562,7660,8181,2587,3568,5667,6527,345,4664,4968,345,733,5002,3538,6081,6527,7268,570,733,7166,6166,4664,6527,4720,2339,4720,5375,7541,7503,570,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",204
"2339,5746,7503,571,6795,7660,2549,8181,2587,2279,7726,2231,6527,345,733,5002,3538,6850,2279,7726,2231,983,2339,1024,3091,2279,7726,2231,983,3937,6421,5727,2279,7726,2231,983,7503,6527,7268,3966,0,2339,5653,7503,7318,6159,2587,6527,4636,4286,3937,6361,6618,0,2339,2141,7503,2587,3269,8271,8490,41,1526,6527,8045,6125,6618,0,2339,8515,7503,2587,2138,4664,4143,8271,6729,7402,4258,2998,0,2141,0,6831,2133,345,1904,2587,2133,3249,2404,8329,6527,5270,6618,0,2339,3126,7503,2587,3155,128,7726,5115,7615,2339,3550,0,296,7503,6618,0,2339,5686,7503,2587,4049,2711,2339,3550,0,6456,7503,345,7116,2899,3675,4704,2711,2339,3550,0,1079,7503,345,7726,2711,7116,3675,6693,2339,3550,0,4939,7503,6527,1012,6618,0,2339,6257,7503,2427,2339,3550,0,7683,7503,3937,2852,2339,3550,0,6531,7503,3937,6582,2339,3550,0,4050,7503,7726,4191,2844,6618,0,2339,5562,7503,6417,3937,2190,7726,503,570,0,3568,6562,1335,2339,8156,7503,4900,7660,8181,2587,2279,7726,2231,6527,345,4664,4968,345,733,2898,2279,7726,2231,983,6580,6166,4664,6527,4720,2339,3550,0,6978,7503,570,0,3568,6562,8032,7660,8181,2587,2279,7726,2231,6527,345,4664,4968,345,733,2898,7318,6166,4664,6527,4720,570,0,2339,4838,7503,571,6795,7660,2549,8181,2587,2279,7726,2231,6527,345,733,5002,3538,6850,6421,5727,2279,7726,2231,983,6527,7268,3966,0,2339,5653,7503,2587,2133,2339,1904,2587,2133,3249,2404,8329,6527,5270,7503,7726,3009,3937,2250,2339,3550,0,725,7503,6618,0,2339,2141,7503,2587,414,2339,1024,750,414,7503,3937,2771,3937,1707,3937,6149,6618,0,2339,8515,7503,2587,571,7353,4379,8181,6527,6157,6618,0,2339,3126,7503,2587,2619,8473,4208,2275,6527,1178,7726,6907,458,8107,5833,3937,3993,3937,5115,2275,4379,8181,6527,6157,6618,0,2339,5686,7503,2587,2606,7778,3274,7348,6527,1277,6618,0,2339,6257,7503,2587,2606,278,1494,5525,6043,7348,6527,1277,6618,0,2339,5562,7503,6904,2138,7305,5454,146,345,6907,5157,179,2825,345,2587,8463,3408,7411,2717,6527,1807,6090,3937,8173,6527,3330,375,7726,1799,6527,4254,375,7855,1681,6527,6157,570,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",420
"571,6795,7660,2549,8181,2587,2279,6527,345,2531,7166,5002,3538,6850,2634,6527,7268,3966,0,5746,3937,2369,6159,2587,6527,4636,4286,3937,6361,6618,0,4838,3937,2587,3269,3937,8490,41,1526,6527,8045,6125,6618,0,6314,3937,2587,8463,7527,6127,2339,7726,6761,3181,911,7503,2998,6998,5305,2133,345,1904,2587,2133,3249,2404,8329,6527,5270,570,0,3568,6562,7830,7660,8181,2587,2279,6527,345,7527,7402,4968,6618,7318,3020,4587,6998,4285,645,6527,345,2881,5230,6580,2339,5002,1024,7318,1330,7503,6166,7527,6527,4720,570,762,7318,6852,5586,6527,2634,6580,345,4314,2530,4720,7166,2685,2587,6527,5052,345,7256,2531,2804,3608,6895,6093,4318,6527,7348,2908,570,0,3568,6562,8032,1437,8181,2587,2279,6527,345,7527,7402,4968,345,2881,5230,7318,1330,6166,7527,4720,570,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",157
"2587,571,6795,0,5653,7088,6257,0,4900,7660,2549,2279,6527,345,7726,8463,1335,0,5562,0,4900,5418,1681,6157,2339,6758,5714,7503,8181,2279,6527,345,1687,5956,5002,3538,962,3966,0,5653,2134,2369,6159,2587,6527,4636,4286,3937,6361,6618,0,2141,2134,2587,3269,7726,8490,41,1526,6527,8045,6125,6618,0,8515,2134,2587,2138,4664,4143,7726,6729,7402,4258,2998,1398,5305,2133,345,1904,2133,3249,2404,8329,6527,5270,6618,0,3126,2134,2587,3155,128,7726,5115,7615,2339,6758,5714,7503,6618,0,5686,2134,2427,3937,2852,3937,6582,7726,4191,2844,6618,0,6257,2134,6417,3937,2190,7726,503,6618,0,5562,2134,2587,4049,2711,2339,6758,5714,7503,3937,7116,2899,3675,4704,2711,2339,6758,5714,7503,7726,2711,7116,3675,6693,2339,6758,5714,7503,6527,1012,2339,6758,5714,7503,5418,570,0,3568,6562,1335,0,5653,0,4900,7660,8181,2587,2279,6527,345,4664,4968,345,1687,5956,2898,2587,1307,6166,3880,6527,4720,2339,6758,5714,7503,570,0,571,6562,1335,0,2141,7088,6257,0,4900,7660,7726,8463,1335,0,5562,0,4900,5418,2587,2279,6527,345,4664,4968,345,1687,5956,2898,2369,6166,3880,6527,4720,570,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",226
"571,6795,7660,2549,8181,2587,3937,2369,2279,7726,2231,6527,345,1687,5956,5002,3538,962,3966,0,5746,3937,2369,4636,7988,2587,6527,151,3937,7564,7726,8376,6527,6618,0,4838,3937,3269,8271,8490,41,1526,6527,8045,6125,6618,0,6314,3937,2138,4664,4143,8271,6729,7402,4258,2998,6998,5305,2133,345,1904,2133,3249,2404,8329,6527,5270,6618,0,1262,3937,4636,2138,2143,6618,0,8484,3937,3155,128,7726,5115,7615,6618,0,1339,3937,4049,2711,345,7116,2899,3675,4704,2711,345,7726,2711,7116,3675,6693,6527,1012,6618,0,7706,3937,2427,3937,2852,3937,6582,7726,4191,2844,6618,0,6185,3937,6417,3937,2190,7726,503,570,0,3568,6562,386,3937,536,7660,8181,2587,2279,7726,2231,6527,345,4664,4968,345,2369,1382,4587,6998,4285,645,6527,345,1687,5956,6166,4664,6527,4720,570,0,3568,6562,8032,7660,8181,2587,2279,7726,2231,6527,345,4664,4968,345,1687,5956,2898,2369,6166,4664,6527,4720,570,0,2369,571,6562,3664,6285,6033,7660,7726,2587,6159,2369,6527,4636,4286,3937,6361,8181,8020,2279,7726,2231,6527,345,1687,5956,4504,2407,645,570,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",213
